id,text,language,label,source,license,collection_date,split,translation_of,collector,notes
bm-0009,စကားပြောရတာတောင် ပင်ပန်းနေတယ်။,my,distress,self-authored,self-authored,2025-10-05,,,TSK,
bm-0067,မနက်ခင်းမှာ လက်ဖက်ရည်သောက်ဖို့သွားမယ်။,my,neutral,self-authored,self-authored,2025-10-05,,,TSK,
bm-0090,ညနေခင်းမှာ မုန့်ဖုတ်စားပြီး စာဖတ်နေတယ်။,my,neutral,self-authored,self-authored,2025-10-05,,,TSK,
bm-0089,မနေ့ညအေးပြီး လေသန့်တယ်။ မျက်နှာထဲသွေးသွေးနဲ့လေခံနေတယ်။,my,neutral,self-authored,self-authored,2025-10-05,,,TSK,
bm-0078,နေ့လည်အစာကို အေးအေးလေးစားမယ်။,my,neutral,self-authored,self-authored,2025-10-05,,,TSK,
bm-0035,ဘယ်သူ့ကိုမှ မပြောနိုင်တဲ့ အမောတွေရှိနေတယ်။,my,distress,self-authored,self-authored,2025-10-05,,,TSK,
bm-0019,Ka hih ciangin ka lung bawl thei lo hi.,zom,distress,self-authored,self-authored,2025-10-05,,,TSK,
bm-0025,Ka siang in ka theihloh hi.,zom,distress,self-authored,self-authored,2025-10-05,,,TSK,
bm-0061,Ka pai in ka va uh hi.,zom,neutral,self-authored,self-authored,2025-10-05,,,TSK,
bm-0016,မိဘတွေအတွက်ပင်နဲ့တောင် အားမကျန်တော့ဘူး။,my,distress,self-authored,self-authored,2025-10-05,,,TSK,
bm-0079,မိသားစုနဲ့အတူ ဇာတ်လမ်းလှည့်ကြည့်နေတယ်။,my,neutral,self-authored,self-authored,2025-10-05,,,TSK,
bm-0024,အိပ်မက်ထဲမှာ မျက်ရည်နဲ့နိုးလာတယ်။,my,distress,self-authored,self-authored,2025-10-05,,,TSK,
bm-0012,အခုလိုနေထိုင်ဖို့မလိုချင်တော့ဘူး။,my,distress,self-authored,self-authored,2025-10-05,,,TSK,
bm-0066,Ka sungah ka lo aw uh hi.,zom,neutral,self-authored,self-authored,2025-10-05,,,TSK,
bm-0063,ညတည်းမတူတာပင် သက်တောင့်သက်သာတယ်။,my,neutral,self-authored,self-authored,2025-10-05,,,TSK,
bm-0076,အိမ်ရှေ့ကလေကောင်းတယ်။,my,neutral,self-authored,self-authored,2025-10-05,,,TSK,
bm-0094,ညနေခင်းမှာ ဂီတနားထောင်နေတယ်။,my,neutral,self-authored,self-authored,2025-10-05,,,TSK,
bm-0014,အိမ်ထဲမှာတောင် တိတ်ဆိတ်ပြီး သံမရှိတော့ဘူး။,my,distress,self-authored,self-authored,2025-10-05,,,TSK,
bm-0091,နေ့လည်စာအတွက် အုန်းနို့ဟင်းချက်ပြီး စားခဲ့။,my,neutral,self-authored,self-authored,2025-10-05,,,TSK,
bm-0006,Ka siang in ka ngai lo hi.,zom,distress,self-authored,self-authored,2025-10-05,,,TSK,
bm-0068,မနေ့ကမေးလှေကားပျော်ရွှင်စရာကောင်းတယ်။ မိသားစုနဲ့အတူနေရာအသစ်သွားခဲ့။,my,neutral,self-authored,self-authored,2025-10-05,,,TSK,
bm-0029,Ka nung lamah a vak thei lo hi.,zom,distress,self-authored,self-authored,2025-10-05,,,TSK,
bm-0001,မလှုပ်မရှားဖြစ်နေတယ်။,my,distress,self-authored,self-authored,2025-10-05,,,TSK,
bm-0030,စိတ်ဓာတ်ကျနေပြီး အားလုံးကအမုန်းတယ်။,my,distress,self-authored,self-authored,2025-10-05,,,TSK,
bm-0003,လှည့်ကွင်းမရှိတဲ့အခါ ချင်စရာမရှိတော့ဘူး။,my,distress,self-authored,self-authored,2025-10-05,,,TSK,
bm-0077,Ka naute in ka haw uh hi.,zom,neutral,self-authored,self-authored,2025-10-05,,,TSK,
bm-0005,Ka theihlohna hi a tuanlo hi.,zom,distress,self-authored,self-authored,2025-10-05,,,TSK,
bm-0069,အိမ်ရှေ့ကပန်းများ ဖွင့်လှစ်နေတယ်။,my,neutral,self-authored,self-authored,2025-10-05,,,TSK,
bm-0070,ညအချိုရည်သောက်ပြီး စာဖတ်တော့မယ်။,my,neutral,self-authored,self-authored,2025-10-05,,,TSK,
bm-0083,နေ့တိုင်းသန့်ရှင်းရေးလုပ်တာ ငြိမ်းချမ်းစေတယ်။,my,neutral,self-authored,self-authored,2025-10-05,,,TSK,
bm-0088,အလုပ်ပြီးအိမ်ပြန်လာတော့ သက်တောင့်သက်သာဖြစ်တယ်။,my,neutral,self-authored,self-authored,2025-10-05,,,TSK,
bm-0065,Ka te in ka aw uh hi.,zom,neutral,self-authored,self-authored,2025-10-05,,,TSK,
bm-0008,စိတ်ကောင်းမွန်ဖို့ကြိုးစားနေပေမဲ့ အတွင်းထဲက ညိုနေတယ်။,my,distress,self-authored,self-authored,2025-10-05,,,TSK,
bm-0072,Ka leng in a nuam uh hi.,zom,neutral,self-authored,self-authored,2025-10-05,,,TSK,
bm-0047,ဘယ်သူမှနားမထောင်တော့တဲ့အခါ စကားပြောချင်တာတောင်ခက်တယ်။,my,distress,self-authored,self-authored,2025-10-05,,,TSK,
bm-0018,သက်တောင့်သက်သာမရှိတော့ဘူး။,my,distress,self-authored,self-authored,2025-10-05,,,TSK,
bm-0042,အလုပ်ပင်ပန်းနေပြီး တခါတလေတော့ငိုချင်တယ်။,my,distress,self-authored,self-authored,2025-10-05,,,TSK,
